env,scenario,nEd,sf,oobPeriodNormal,oobPeriodFail,failStart,failEnd,seed,run,oobTx,oobRx,oobPdr,latP50,latWinP50,oobTxWin,oobRxWin,winPdr,inTxTotal,inAckRxTotal,inAckPdr,inTxWin,inAckRxWin,inAckWinPdr,detTdP50
indoor,C1,20,12,900,120,600,1200,1,5,106,101,0.95283,1.48779,1.48779,80,75,0.9375,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,6,114,113,0.991228,1.48779,1.48779,80,80,1,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,7,108,99,0.916667,1.48779,1.48779,80,73,0.9125,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,8,114,109,0.95614,1.48779,1.48779,80,77,0.9625,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,9,111,105,0.945946,1.48779,1.48779,80,74,0.925,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,10,109,103,0.944954,1.48779,1.48779,80,75,0.9375,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,11,112,98,0.875,1.48779,1.48779,80,70,0.875,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,12,108,97,0.898148,1.48779,1.48779,80,72,0.9,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,13,107,98,0.915888,1.48779,1.48779,80,72,0.9,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,14,112,108,0.964286,1.48779,1.48779,81,77,0.950617,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,15,109,103,0.944954,1.48779,1.48779,80,76,0.95,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,16,110,99,0.9,1.48779,1.48779,80,73,0.9125,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,17,109,99,0.908257,1.48779,1.48779,80,72,0.9,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,18,111,104,0.936937,1.48779,1.48779,80,74,0.925,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,19,108,101,0.935185,1.48779,1.48779,80,74,0.925,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,20,112,108,0.964286,1.48779,1.48779,81,78,0.962963,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,21,106,101,0.95283,1.48779,1.48779,80,76,0.95,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,22,109,99,0.908257,1.48779,1.48779,82,72,0.878049,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,23,105,98,0.933333,1.48779,1.48779,80,75,0.9375,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,24,107,101,0.943925,1.48779,1.48779,80,75,0.9375,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,25,112,107,0.955357,1.48779,1.48779,80,78,0.975,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,26,111,105,0.945946,1.48779,1.48779,80,75,0.9375,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,27,111,95,0.855856,1.48779,1.48779,80,71,0.8875,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,28,108,107,0.990741,1.48779,1.48779,80,79,0.9875,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,29,109,101,0.926606,1.48779,1.48779,80,72,0.9,18000,11500,0.638889,6000,0,0,21,
indoor,C1,20,12,900,120,600,1200,1,30,105,96,0.914286,1.48779,1.48779,80,72,0.9,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,1,112,13,0.116071,0.0616134,nan,99,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,2,107,11,0.102804,0.0616135,nan,96,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,3,114,14,0.122807,0.0616133,nan,100,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,4,111,13,0.117117,0.0616134,nan,97,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,5,107,11,0.102804,0.0616133,nan,95,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,6,115,16,0.13913,0.0616133,nan,99,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,7,109,14,0.12844,0.0616133,nan,95,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,8,115,17,0.147826,0.0616134,nan,98,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,9,114,12,0.105263,0.0616134,nan,102,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,10,110,13,0.118182,0.0616134,nan,97,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,11,113,16,0.141593,0.0616134,nan,97,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,12,108,12,0.111111,0.0616133,nan,96,0,0,18000,11500,0.638889,6000,0,0,21,
indoor,C2,20,7,900,120,600,1200,1,13,108,10,0.0925926,0.0616133,nan,98,0,0,18000,11500,0.638889,6000,0,0,21,
